"shoulder.girth","chest.girth","waist.girth","navel.girth","hip.girth","thigh.girth","bicep.girth","forearm.girth","knee.girth","calf.girth","ankle.girth","wrist.girth","weight","height","gender"
"106.2","89.5","71.5","74.5","93.5","51.5","32.5","26","34.5","36.5","23.5","16.5","65.6","174","1"
"110.5","97","79","86.5","94.8","51.5","34.4","28","36.5","37.5","24.5","17","71.8","175.3","1"
"115.1","97.5","83.2","82.9","95","57.3","33.4","28.8","37","37.3","21.9","16.9","80.7","193.5","1"
"104.5","97","77.8","78.8","94","53","31","26.2","37","34.8","23","16.6","72.6","186.5","1"
"107.5","97.5","80","82.5","98.5","55.4","32","28.4","37.7","38.6","24.4","18","78.8","187.2","1"
"119.8","99.9","82.5","80.1","95.3","57.5","33","28","36.6","36.1","23.5","16.9","74.8","181.5","1"
"123.5","106.9","82","84","101","60.9","42.4","32.3","40.1","40.3","23.6","18.8","86.4","184","1"
"120.4","102.5","76.8","80.5","98","56","34.1","28","39.2","36.7","22.5","18","78.4","184.5","1"
"111","91","68.5","69","89.5","50","33","26","35.5","35","22","16.5","62","175","1"
"119.5","93.5","77.5","81.5","99.8","59.8","36.5","29.2","38.3","38.6","22.2","16.9","81.6","184","1"
"117.1","97.7","81.9","81","98.4","60.5","34.6","27.9","38.9","40.1","23.2","16.2","76.6","180","1"
"123.5","99.5","82.6","82.5","95","58.5","38.5","30.4","39","38.4","24.3","18.2","83.6","177.8","1"
"116.5","103","85","94.5","103","59","33.5","29","40.5","40","26","18","90","192","1"
"113","99.6","85.6","89.2","98","59.1","35.6","29","35.8","36","21.5","16.6","74.6","176","1"
"107.5","101.5","78","89.5","95","57","36","29","34.5","35","22","16.5","71","174","1"
"112","104.1","82","84","97","56","34.5","29.5","39","35.7","24","17.5","79.6","184","1"
"112.2","100","88.3","93.5","105","65.8","37","28.8","40.9","41.7","24.2","17.8","93.8","192.7","1"
"120","93.8","73.6","74.9","90.1","54.1","31.2","26.9","36.4","35.6","22","17.1","70","171.5","1"
"109","98.5","78.5","86","94.5","55","34.5","28.5","38","36.5","23","18.5","72.4","173","1"
"118.5","104","87.3","88","101.1","59.5","37","30.5","39.8","42","26.5","18.8","85.9","176","1"
"116","100","92","91","98","57.5","32","27.6","37.5","35.2","21","17.3","78.8","176","1"
"111","100","80","83.7","99.5","57","37","30","37.5","35.5","23","18","77.8","180.5","1"
"117.7","99","74.5","75.9","92.2","53.4","31.2","26.9","36.2","33.3","23.5","16","66.2","172.7","1"
"123.9","101","90.6","89.6","101.2","59.5","37","28.3","35.4","40.6","22.9","17","86.4","176","1"
"120.6","101.6","81.4","81.6","98.8","61.3","39.4","31.9","38.5","41.2","22.8","18.2","81.8","173.5","1"
"129.5","108.8","89.5","89.5","106","59.5","37.5","30.1","39.9","41.5","23.5","19","89.6","178","1"
"115","100","85","94.5","105","62","35.5","28.5","38","40","23.5","16.7","82.8","180.3","1"
